Details,roads
"रु. 91,00,000
Land: 3 aana Road: 12 feet
Thankot 1 Chandragiri, Kathmandu
Joel Budhathoki
ID 114","रु. 91,00,000
Land: 3 aana Road: 12 feet
Thankot 1 Chandragiri, Kathmandu
Joel Budhathoki
ID 114"
"रु. 24,00,00,000
Land: 0-9-3-3 Road: 25+
Jawalakhel 1 LMC, Lalitpur
Gharjaggabazar
ID 537","रु. 24,00,00,000
Land: 0-9-3-3 Road: 25+
Jawalakhel 1 LMC, Lalitpur
Gharjaggabazar
ID 537"
"रु. 21,00,000
Land: 0-4-0-0 Road: 16 ft
Machhegau 4 Kirtipur, Kathmandu
Owner
ID 1232","रु. 21,00,000
Land: 0-4-0-0 Road: 16 ft
Machhegau 4 Kirtipur, Kathmandu
Owner
ID 1232"
"रु. 8,00,000
Land: 2-14-0-0 Road: 14 ft
Ramkot 7 Nagarjun, Kathmandu
Krishna Ram
ID 1369","रु. 8,00,000
Land: 2-14-0-0 Road: 14 ft
Ramkot 7 Nagarjun, Kathmandu
Krishna Ram
ID 1369"
"रु. 2,25,00,000
Land: 0-3-0-2 Road: 15 ft
Pasikot 1 Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 858","रु. 2,25,00,000
Land: 0-3-0-2 Road: 15 ft
Pasikot 1 Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 858"
"रु. 1,55,00,000
Land: 0-6-0-0 Road: 20 ft
Duwakot 2 Changunarayan, Bhaktapur
Hom Prasasd
ID 1406","रु. 1,55,00,000
Land: 0-6-0-0 Road: 20 ft
Duwakot 2 Changunarayan, Bhaktapur
Hom Prasasd
ID 1406"
"रु. 24,00,000
Land: 0-5-0-0 Road: 14 ft
Chapali 1 Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 879","रु. 24,00,000
Land: 0-5-0-0 Road: 14 ft
Chapali 1 Budhanilkantha, Kathmandu
Hajurko Gharbari
ID 879"
"रु. 2,75,00,000
Land: 0-4-0-0 Road: 13 ft
Aryal-Gaun 7 Gokarneshwor, Kathmandu
Khusi Karki
ID 815","रु. 2,75,00,000
Land: 0-4-0-0 Road: 13 ft
Aryal-Gaun 7 Gokarneshwor, Kathmandu
Khusi Karki
ID 815"
"रु. 3,50,00,000
1822.5 Road: 20 ft Room: 8+
Saurahachowk 10 Ratnanagar, Chitwan
Rev
ID 1871","रु. 3,50,00,000
1822.5 Road: 20 ft Room: 8+
Saurahachowk 10 Ratnanagar, Chitwan
Rev
ID 1871"
"रु. 6,50,00,000
8 aana 2 paisa 2 daam Road: 18 ft Room:
Grande Hospital 06 Tokha, Kathmandu
Rajaram Pandey
ID 1870","रु. 6,50,00,000
8 aana 2 paisa 2 daam Road: 18 ft Room:
Grande Hospital 06 Tokha, Kathmandu
Rajaram Pandey
ID 1870"
"रु. 1,55,00,000
3.2 Road: 20 ft Room: 2
Duwakot BMC, Bhaktapur
Tashee Lama
ID 1867","रु. 1,55,00,000
3.2 Road: 20 ft Room: 2
Duwakot BMC, Bhaktapur
Tashee Lama
ID 1867"
"रु. 90,00,000
3.1 Road: 10 ft Room: 3
Samanthali , Duwakot 1 BMC, Bhaktapur
Tashee Lama
ID 1866","रु. 90,00,000
3.1 Road: 10 ft Room: 3
Samanthali , Duwakot 1 BMC, Bhaktapur
Tashee Lama
ID 1866"
"रु. 19,50,000 aana
Land: 4.47 Aana Road: 20ft
Ward No 1, Chandragiri Municipality, Sabik Ward No.8 Kha, Sabik Dahachowk, VDC, Chandragiri, Kathmandu 8 Chandragiri, Kathmandu
Anju
ID 1872","रु. 19,50,000 aana
Land: 4.47 Aana Road: 20ft
Ward No 1, Chandragiri Municipality, Sabik Ward No.8 Kha, Sabik Dahachowk, VDC, Chandragiri, Kathmandu 8 Chandragiri, Kathmandu
Anju
ID 1872"
"रु. 16,50,000 aana
Land: 4.1.3 Road: 20 ft
Katunje 0 BMC, Bhaktapur
Tashee Lama
ID 1869","रु. 16,50,000 aana
Land: 4.1.3 Road: 20 ft
Katunje 0 BMC, Bhaktapur
Tashee Lama
ID 1869"
"रु. 19,00,000 aana
Land: 3.2.3 Road: 20 ft
Duwakot 1 BMC, Bhaktapur
Tashee Lama
ID 1868","रु. 19,00,000 aana
Land: 3.2.3 Road: 20 ft
Duwakot 1 BMC, Bhaktapur
Tashee Lama
ID 1868"
"रु. 12,00,000 aana
Land: 17 aana Road: 13 ft
Palubari Sankharapur, Kathmandu
Ravi
ID 1862","रु. 12,00,000 aana
Land: 17 aana Road: 13 ft
Palubari Sankharapur, Kathmandu
Ravi
ID 1862"
"रु. 30,000
1 ropani Road: 20 feet
Malepatan 5 Pokhara, Kaski
Kishor Bandhu Bhurtyal
ID 1863","रु. 30,000
1 ropani Road: 20 feet
Malepatan 5 Pokhara, Kaski
Kishor Bandhu Bhurtyal
ID 1863"
"रु. 3,50,000
3000 Sqft Road: 12 ft
Thamel 16 KMC, Kathmandu
Simran
ID 1857","रु. 3,50,000
3000 Sqft Road: 12 ft
Thamel 16 KMC, Kathmandu
Simran
ID 1857"
"रु. 15,000
Nepal Road:
Dhapshi Tokha, Kathmandu
Mukti Nath Ghimire
ID 1831","रु. 15,000
Nepal Road:
Dhapshi Tokha, Kathmandu
Mukti Nath Ghimire
ID 1831"
"रु.
2 ropani Road:
2950 Pokhara, Kaski
Bijay Sigdel
ID 1774","रु.
2 ropani Road:
2950 Pokhara, Kaski
Bijay Sigdel
ID 1774"
